,Lyrics
dielikearockstar," Roaches crawlin' up the wall, piss-stained beds Niggas dreamin' 'bout piff, but we rolling up reg Still scream, though his momma say, ""never leave the backyard"" Niggas out shooting, used condoms on the playground Stay 'round crackheads, squatting out vacant flats Teen girls getting raped, man it's all fact Hooks swoop up, take your money and your crack Might get your weed back, put your ass out the back Starvin', narcs comin' we chalking Run up, stash the work, get the guns out the closet Seen niggas in the county get they brains stomped out While the dep's did nothing they just stood there and watched Tired of Coney, motor city got me lonely For security, I got the .40 on me Crib's rent unpaid, bills in the mailbox Letter from your cousin on the bloc, man it stay hot Most niggas I grew up with that are locked up Are lost to a trap, leader ass stuck And most souls I know got babies or a lady Never met a old chick that tell me that she married It's crazy in a city where there's money to gamble But lookin' at the scenery, it's all in shambles I lay back, reminisce on earlier times There's nothing happy here, it's a Detroit state of mind   When the moon come out, and the sun don't shine I be on the corner all day continuing the grind When the sun comes up that just let me know the time There's nothing happy here, it's a Detroit state of mind   At the Cabernet, late night, saturday Tight fitted, drunk off hennessey, I put the gat away I'm nervous 'bout it cause these niggas lookin' kinda strange As I have them very thoughts, niggas got it in the brain I'm headed for the exit, while I'm slipping on champagne Kicking bottles on the floor, I'm just trying to hit the door And everybody else too ain't tryna get trampled Heard two shots, tripped, and twisted my ankle And we can never party, a bunch of hatin' niggas In a city that's corrupted with some grimey-ass bitches Could be your best friend or even your relative Snitch on you or put the .40 in your grill And nigga that ain't right, niggas your whole life When you get locked won't send you a kite I lay back, reflect, think of earlier times There's nothing happy here, it's a Detroit state of mind  "
dubstep," Hé bien peut-être l'oiseau L'oiseau qui dormait en chacun de nous S'élèvera   Hipster by heart but I can tell you how the streets feel Everybody thirsty and they looking for a refill If the gang eat you guns barking at your doggie bag Get took out for your take out now you carry out Murder by delivery, married at the paramount I just coughed up a fair amount Of niggas might air it out Judge a book by cover so we never educated It ain't about racists poor and rich segregated Just to get the bacon dawg, you gotta go HAM Use to be lost til I found who I am But it took the hook to eat the palm on my hands Locked tryna get real creative with the spam Locked in a jam cause a nigga serve butter Just to get a little bread had to keep tomato smothered All I really wanted was to overdub my vocals But no one ever thought that I would take it past local High a'top a totem man somebody shoulda' told 'em That if money grow on trees being rich is dime a dozen   So I'm smoking by my lonely By my goddamn self I don't need your help homie Cause don't nobody really know me Said nobody really know me   See that's going on a limb And I used to sell trees, and I used to rock Timbs Radiohead shit, fiends with The Bends Back when Granny used to tell me ""Stay Out of In"" Blaming cold air out, tryna know my whereabouts Gone for three days and nobody ever heard about How I got these Jordans, but that ain't too important When I got a bitch pregnant and I'm stacking for abortion And all I really wanted was to give myself a portion Lit up off the Henney got a nigga self absorbing Smoking on a bogie, no bud style, who can I trust now? Lady snitch and got the whole block down Now we gon' eat now, no rebound, when your boxed out Belly of the beast now Now you got me feeling trapped and I can't look back When the roller head is out and the Pabst is made of ash And I'm going through the trash tryna' find a little treasure Living for the better tryna get myself together  "
bellyofthebeast,"Street smart, Ph.D Dropped out for a nigga degree Not on me Keep the doubles off me Cause we was living in shit Couldn't afford property Lil nigga getting fronting from OGs Oz of OG bagged up in the Pelle In a school hall way on a burner celly Leaving out of class early caught a cell for 20 How long will they last? Never ending race, chasing cash One lane going wrong way til I crash Teacher find my sack, going nowhere fast  Tell me what I don't know Last night homie got killed at the liquor store Shot my nigga on the way to get a Swisher Breaking down the weed when the call got received  We was so ambitious All we really wanted was new Jordans and some bitches Flashing bankrolls in the club taking pictures Thinking we was grown men, really lil niggas Jumping dope fiends that's owing us for credit Taking turns catching shells things copacetic Slice your tomato if you owe us for the lettuce Running through the sack of D sorta like Jerome Bettis Now heed the outcome Hit the block, hit the stash and they found some Lock us all up for a bag of some Now we in the county writing letters I miss you  Tell me what I don't know Hood raid came through kicking down the front door Now we facing judge, got us sitting up in court Gave us all probation now we smoke Newports Tell me what I don't know Hood raid came through kicking down the front door Now we facing judge, got us sitting up in court Gave us all probation now we smoke Newports Tell me what I don't know Tell me what I don't know Tell me what I don't know Tell me what I don't know  And we was so gone ho Wet a nigga up like he got his poncho On the block all day chasing that cilantro Hood raid kicking on the front door It's like a cycle You get out, I go in, this is not the life for us It's like a cycle You get out, I go in, this is not the life for us  Tell me what I don't know Last night homie got killed at the liquor store Shot my nigga on the way to get a Swisher Breaking down the weed when the call got received Tell me what I don't know Hood raid came through kicking down the front door Now we facing judge, got us sitting up in court Gave us all probation now we smoke Newports Tell me what I don't know Tell me what I don't know Tell me what I don't know Tell me what I don't know Tell me what I don't know Tell me what I don't know Tell me what I don't know Tell me what I don't know Tell me what I don't know"
odb,"Twelve-gauge shotguns, I seen twelve-gauge, um, pumps  I don't give a fuck I could talk a cat off the back of a fish truck Tell me what's up All about the game, so I'm hunting big buck Big butt, slim waist, and her hair long Pass it down to me like a heirloom The Henny got me wetter than Will Piss I die for this like Elvis Boss up and shake down Get it jumpin' like a techno breakdown Night young and we just gettin' started Let me walk on yard at the Bruiser Brigade party Got smoke, of course Goin' up, fireworks on the fourth Take mine, and I do it with force Been with this shit since I jumped off the porch Used to chop grams on my grandma's sauce Pay me what it costs, I ain't tryna hear or Tryna play round, you be hangin' with (Huh) Cop a pound and it put me down an ounce Bust it open like them hoes came in Got more bills than the Olsen twins Focus, I can see where ocean is Kush thinkin' like it broke the wind  What it is, what it is, what you know about Came a long way from that dope house What it is, what it is, what you know about Came a long way from the  All I cared about was the stacks and the stage When it's time to re-up, pull my partner out his head Ain't rocket science class, I ain't tryna pass math Put grams on the scale, watch me do arts and crafts Anything could be my last, livin' like that Tripped over the crack, crippled by circumstance Nigga gotta face the facts, mixed with your own Sun spread your light, others make a marathon Tryna live on through my music The future influence, the next to do it The odds are against you, kiddo Likin' everything from you, like a divorced widow Tryna get it like the next negro Want beef? You gon' fuck around and end up a vegetable Tryna give you a little game Get some, get locked, and back again  What it is, what it is, what you know about Came a long way from that dope house What it is, what it is, what you know about Came a long way from the  It's a combat zone Everything, what they on Red top, blue top Get the green, hold the block It's a combat zone Everything, what they on Red top, blue top Get the green, hold the block It's a combat zone Tryna get that bag Cash that lick, get that bag It's a combat zone Tryna swerve around 12 It never fail when you goin' through Hell It's a combat zone Count that lick real quick (Combat) Get the bag, get the bag, whatchu got It's a combat zone Get that lick real quick (Combat) Get the bag up, and the swag up Before the car pull back up  Listen, all a nigga wanted was a Chevy or some Wasn't thinkin' 'bout no lawyer, nigga, fuck savin' Didn't know we'd see them whores like Wes Craven Hook jumpin' out them fan stores on payment Locked up with dirty white boys, all musty Prayin' for probation, hope I get lucky Court-appointed lawyers, gotta stay copping Put you in predicament, but that's your only option Sink or swim, look at him in the system Just another nigga, one-way ticket to a prison Tried to help, only hurt in the end How the fuck 'posed to take care your kids in the pen' It's the life that we chose, friends become foes That nigga snitched on, everybody know Son don't know how to stick to the code Nobody to trust, that's the way life goes  I've seen hand grenades (Combat zone) I've seen beer... beer-can (Combat), beer-can bazookas made (Combat zone) Damn things hit you (Combat), just-just as getting hit with a gun (It's a combat zone) I've seen .22 zip guns (Combat), I've seen .38 zip guns I've seen (Combat zone), I'll tell you, this about things you think you'd never see on the street I've seen (Combat) I've seen dynamite on the street I've seen all this You'd be surprised, man Pretty soon they're gonna steal the damn atom bomb"
detroitstateofmindpt2,"Piranhas, stay on my toes like orthodontists Dopeman Nikes, George Costanza Nigga it's colonic when I vomit Get in niggas ass You's a fag just for thinking gay Nigga you ain't Andre Better get an Hors D'ouvre, nigga you a cold sore Lips of a prostitute, buff ass nigga Having trouble with the childproof, nigga outlined you Don't make me go back to that, nigga on a mongoose Rest in peace Ron Gook, sitting in a old school Smoking on some Goku, buds like Dragon Balls Tequila with the lime juice, times two cyborgs Smoking on some grapefruit, hoes come twice But it's three if I eat the cooch Peach coupe, no roof When my hoes coming through My bitches rap better than you So quit worrying about what I'm gon' do Cause I could give a flying fuck about what you doin' I'm shooting moves...   So nigga quit worrying, about what I'm doing Cause I could give a flying fuck about what you doing My nigga I'm shooting moves... So nigga quit worrying, about what I'm doing Cause I could give a flying fuck about what you doing My nigga I'm shootin' moves  Used to wait for the Dexter, smoking on that Newport Stacks in the phone posit, work in the Jansport Prayin for a personal, every time I go to court Eastland shopping bag, ho's at the food court Around the time you got your sounds put in that mammoth I was on Clairmount, 3 for 10 slangin' Shining like the silver on a Air Max '95 Took this rap shit serious about in '05 Got these niggas scared, ask them if I'm lyin' Because I shit on niggas bar for bar without trying Ain't in your top three? Then bitch you can't count Only thing that makes sense is dollar amount Ounce to the face, stank go to waste You still tryna find a place to record your mixtape ...this ain't here for ya Even Jesus tried to break the teeth for droppin' vocals  "
lonely," The cheddar breed jealousy... The cheddar breed jealousy Especially if that man fucked up   Y'all don't know where I come from, nigga You don't know what I've been through, hoe Said I wasted my time, huh? Look, bitch, I done told you so I done got on my own shit I ain't need your help, though Bitch, I know I did it You ain't gotta tell me so I done come a long way, I'm grindin', grindin' Really, I ain't really have shit Now your bitch see me shinin', prime-timin' And she all up on my dick 'Cause she know I'm ballin', ballin' J. J. Redick comin' off that pit Shake, take pics, open up her mouth And my dick is about to go switch Bitch, it's... Danny Motherfuckin' Brown And you know I'm in beast mode So bitch go run them c-notes She come through naked in a pea coat 'Cause she know she about to deep throat Rubbin' on her clit, playin' with her pee hole Lookin' like she playin' Guitar Hero You niggas ain't in my league, hoe My flow's so down, my lingo No nigga, you ain't my amigo No senor, you no chico I do not speak no Spanish So I don't know what that mean, yo I met this Filipino, and she was jalapeño     Get up off of your ass, nigga Worried about my fuck, boy I don't love that bitch Hoe just my fuck toy Got the game in an uproar Y'all are lames and so boring Now your bitch got her tits out Tryna get my laundry - oh boy! I'm on some other shit 'Cause y'all done got me fucked up Y'all don't know who y'all fuckin' with I'm a Linwood nigga 'til I'm dead in the grave Detroit techno, shootin' off weight Nigga'd overtake ya back in the day Don't make me go back to that nigga in the braids Raised wrong, caged, but a nigga escaped So bitch-nigga, don't make me take that bait Niggas in the hood got love for me No Limits, got Dungarees So I'm just tryna smoke my weed Tell me where the hoes at All up in my cell phone Nigga you already know that So I'm a call some hoes up Tell 'em bring some drink through We gon' have a party Called up your man Achbo So last song, gettin' fucked up 'Cause we ain't worried 'bout it Smokin' on that Master P Bitch we 'bout it, 'bout it  "
tellmewhatidontknow,I'm blowing on some Miles Something Kinda Blue The kinda dope You swear could make Dreams come true Sticky icky nugs Real furry buzz This my party pack Call it the cotton club Towel under the door Hotboxing hotels Security knocking What's that smell Ornette with a fortress Scorching frontos on porches Torching up the purple Got me spinning in a circle I'm Coltrane on Soul Plane Propane flow game Bitches know my name from Cancun to Spokane Got it in my carry on Smoke it till its all gone No homo but yo bitch go Tommy Dorsey on my trombone Hit the greenery jaws go Gillespie Have a nigga shaking like he got epilepsy I hit it twice then i pass it to the right Mary Jane ya be the love of my life  Say ya had a bad day Want the stress to go away Just rollup Take the pain away And get hi Stop talking all that jazz Every morning I wake up First thing I roll up Before I get the day started First I gotta bake up And get hi  Ya girl just left you You just got fired Ya car acting up You need new tires Your bills all late Anyday ya phone off Fuck it cop a 8th Take the load off Baby Momma tripping Taking you to the court They wanna lock you up But your daughter got new Jordans Yo landlord knocking Her girl cock blocking Dealing with this bullshit Smoke up on the constant Living in this world Always on the edge So to clear yo mind Smoke one to the head Pockets on e Due on ya lease Tryna chop you down So roll up the trees  Problem of today Smoke it to the face It's only for a moment But the troubles go away Problems of today Smoke it to the face It's only for a moment But the problems go away  Say ya had a bad day Want the stress to go away Just roll up And take the pain away And get hi Every morning I wake up First thing I roll up Before I get the day started First I gotta bake up And get hi
combat,"They thought I was gone, back from the grave Mind of a master, blood of a slave Heart of a king, stuck in between The devil and the angel on my shoulder when I speak Lost in the streets, found on the beat Still kept a clip, asked and got it for cheap Now I'm in a world where they pray for the weak Stand up niggas, take shots to the knees  Lord have mercy, pray for me Need to calm down so pass me the weed Got me stressed out, situations look bleak Time's running out, how my days turn to weeks? Up all night, toss and turn when I sleep Pacing around, drowning sorrows in my drink Can't even think, got my mind wrapped up But I still bite down, clench my teeth, knuckle up  I'ma keep going, you cannot blame us Never look back, I would never change up Never look back, I would never change up Never look back, I would never change up  I'ma keep going, you cannot blame us Never look back, I would never change up Never look back, I would never change up Never look back, I would never  Every other day, always some shit I'm the underdog but I'm never over it Gotta keep a grip when the rent due Niggas tryna get you for every last cent Ain't no pretend, ain't tryna make ammends Just tryna keep my legacy on legend in the end So never try to sin, 'cause you could get bent 'Cause I protect from beginning to the end  Lord have mercy, pray for me Distanced from my friends, enemies close to me Gotta stay alert, things change in a blink Gotta stay woke, they all in a deep sleep Up all night, toss and turn when I sleep Pacing around, drowning sorrows in a drink Can't even think, got my mind wrapped up But I still bite down, clench my teeth, knuckle up"
shootinmoves," The way these bitches on my cock You'd swear was 1985 and teen wolf just dropped And my name was Michael J Fox But no bitch my name is Danny Brown I got some weed up in my sock So bitch get high with ya nigga The sack I got looking some dead caterpillars But it smell like a skunk that's oh so defensive These bitches suck my dick like was moral incentive Off the chain like broke nunchucks Where little niggas come thru and shoot you over new chucks A little dark like wet nubuck Decribes my state of mind is inside the tomb of king tut Murder all the time all we see Detroit 187 on you niggas TV I can first degree this beat and walk with no charges Fuck a female MC and a Pop Artist Ohh baby I like it raw And My dick so big left stretch marks on her jaw I'm so institutionalized I wake up 6 AM because I think it's chow time I'm a borderline porcupine A step from drinking turpentine Just to wash down a plate of these wack rappers rhymes I got a mind in the cosmos And if these niggas cold then I guess I'm osmosis That be blowing on some potent That them white boys be growing While you niggas smoking smelling like some tanning lotion My concoctions could make world ending potions These other rap niggas got lines I got encroachments I got endorsements so muthafucka a cosign Punch punchlines I'll punch rappers til your broke spine Remember back in 09 I told em it was showtime Now they pull they cam phones out when I go for mine Lights camera action Hybrid be snapping Cause the days of no tissue had to whip with wet napkins Smear up the classifieds know it sound trife But to be honest a metaphor my life   Buzzin off the bar bitch you with's an amphetamine Chase it with a 40 oz of Ready Clean I swear I never ever smoke the better weed Yo bitch said I'm the swaggiest nigga she ever seen Run up in yo crib, Two K's, One Mag Yo girl get snatched like Cool J in I'm Bad Cost to live, you ain't made enough Guarantee bullet holes with a laser touch European garments drape my body if I ain't hipstered up If she smile with eye contact then the bitch will fuck Homie gone make me send them killers after him Them niggas swing swords like Word Fence Champions You was poppin' pills and drinking liquor Now you thinkin you a gangsta killer I leave you stankin' nigga Laid down, face down like you taking a plankin picture But I can keep the shots in the weapon Put the bat to back of your leg Grab your chin and the back of your head And twist them shits in opposite directions"
jealousy,"I'm so ahead of my time My pops ain't even bust his first nut yet I'm a-whole-nother subject Extra-curriculum, passion just to get more Credit used synthetic, after this call the medic Got a fetish for anything the color of lettuce But they cut the horses' wings yeah, a Pegasus Why you on some new con, new necklace I transcend nijja a nigga dial right Okay get your words up, hit Starbucks Grab a bag of whole bean, whole food deli sandwiches Blowing OG and I wrote this shit And it goes like this a penny for your thoughts But I plan to make millions Or die cryin' in the end like the villain Or sipping Teqo in outdoor pavilions They keep telling me I'm brilliant And I concur 'cause My metaphors are better than yours I broke obituary like brochure And I'm trying to have mine like novel Rap Dan Brown fight Angels and Demons That's why I'm sipping on this bottle I take your ho to Aeropostale and She show me her body parts like Hostel...  Uh... nigga... I'm the nicest man... I don't give a fuck  It ain't trickin' if you got it Yeah right it ain't trickin' if it's Jeep If I can afford this you will absorb My semen, dinners makin' copy cat peas From mean mints, fiends leanin' throwing up Will he demon? On the grind like strippers on zippers To y'all young whippersnappers nigga I'm a blizzard Nigga that's cold, I would do you so bold If you ever disrespect this talent... uh What the fuck you poppin' daughter-sect Nigga I'm the architect And my notepad's the blue print Watch how I fuel shit Getting away, watch these whorehats kill shit  Nigga... nigga... it's Detroit stand up... shit..."
gethi,"The hybrid smoking on papaya That give you niggas bronchitis What you write is vagina What I write is Wall of China Nigga that's great Like 8ths of grape ape Stuffed in my suitcase Ready to hit the studio and shit all on yo mixtape Naw literally shit all on yo mixtape Wipe with the credits leave stains on the jewel case In just two takes then the booth is soufle'd Your hiding something like toupee Truthfully my friend touche You gone get exposed like and up and coming model And to me your label seems like one of them pagent mommas So guess who's the lil bitch? That's you You must suck alot of dick that's true I misuse with issues and pistols Mind racing like bristol heart on igloos My nigga you ain't been what I been through And if so you'd take a pencil to yo temple Cause I done served fiends on they menstrual Ain't even have pads stuffed they panties it tissue And still hit the ave cause they mouth ain't bleeding And yo style is like fried chicken without seasoning Nigga that's bland fuck you and ya mans Smack you like bitch nigga, that's openhand Fuck you and yo tough talk When I monopolize I'm a throw yo ass off the boardwark Fag don't play sports but he stay at the ball park Type of nigga u see rocking Crocs at the fucking walmart Drunk like Stallworth, riding in a fiend car Get flicked guess what? I'm running from this fiend car I know a nigga dirty and got a hammer But Kush got me high like Pac's bandanna I'm a smart nigga that do dumb shit In ya babymomma crib not flushing after I piss I'm Ferris Bueller with Frank Muellers You blank shooters on stank hooters I'm in aruba sippin wine coolers Mind ruler flow sort of like hypnotism That's why all these white bitches wanna get with em I smack me up flip em like Mik Bivens And to me your flows like Ronny Devoe's My hoes got pretty toes in expensive high heels And your hoes toes is fucked in beauty supply sandals I'm a vandal handling any situation I smoke blunts to the face to stay motivated Irratated when I'm not sedated I fuck her face like I was obligated And still fucking with them freak hoes Stank pussy smelling like Cooler Ranch Doritoes"
changeup,"Business comes from... Got probation cause the parents paid the money, Six months rehab, but she's back at it, Reflexion stare at it, but she can't look at it! She whipped out the... The stupid loans, they call her phone, but she don't sweat it! Cocaine no... separate in lines, Every time she do it, she says it's her last time. Chasing out high from the very first time, But getting... in 2009 Never thought this relationship would come this far, ...in her nose, I'm blade sniffing hard! In night clubs... her friends sniff it hard Never sleep in random dude's apartments... I'm replying texts from her boyfriend, Feeling like any second the world can end, And when... and make her pussy wet, Face washing going numb, nipple hard on them breasts Sniffing 'till it tripped, back... blood running down her lips!"
detroit187,"You can act stupid if you want to Never play by the rules, do just what I want to Came up in this bitch strong, got without a strong front tooth Now who they say is number one influence? So, he number two Yeah, he dance good, but guess where he got the moves? But compared to me, look like he wear two left shoes Boy, I treat them little virgins like the restroom Take my hand and dance with the Devil Oh, boy, you in trouble, rattled the lion cage Told God spray ya down while you're prayin' on stage Jit at your burial, smoke squares at your grave Then repent for my sins like, ""God I'm saved"" He always forgive, later on, I forget I had my fingers crossed so I'm back on that shit Catch another body 'fore the song get mixed The bullets is the lyrics, turn the rapper to a spirit Singin' with the angels, nigga long gone This song's like Bishop Ali Wong with a thong on Nigga, I'm the wrong one to run on My balls on her Kit-kat, now she playin' ping-pong  Nigga, this the theme song for bitch ass niggas Got a little richer, now their head all bigger Nigga, this the theme song for bitch ass niggas Got a little richer, now their head all bigger  Listen here, little Richard, I don't know what got into you Did mo' for the game than you That's why I had to cut into ya, you need to be checked Lil niggas need to learn some respect When your show's like The Rockettes with some majorettes Give me a mic and the DJ and I'm set 'Cause these bars on deck, ain't gotta shake my ass You the real definition of ants in yo' pants Gotta son, lil niggas, no child support Sorta like the Bad Boys up against Jordan But nigga, you ain't scorin', not on me Wrote this one on one knee, RIP the P Taught me to keep it real, stand on my own If I got to, rock a nigga brain with his nose blown No time for the gimmicks and I ain't gotta lie when I say I'm independent  Nigga, this the theme song for bitch ass niggas Got a little richer, now their head all bigger Nigga, this the theme song for bitch ass niggas Got a little richer, now their head all bigger"
demonsandangel,"I had to be like 15 My dawg ain't have his ills but copped a Cutlass Supreme Clean from an old white dude, he got a deal And at the gas station where he got killed Late night filling up Niggas shot him up Asleep when the call came, news when I woke up 17, carjacked, dead at the Mobil I swear I shed a tear every time I see a photo Now I'm all grown up same spot  Old school Chevy check the rear view mirror Give a bum a buck, show the hood niggas love Pocket full of kush so I hit them with a nug My homie left the hood, I ain't seen him in a minute Pull up smoking reggie with his bitch in a rental He said ""I just got out"" and can I let him hold something I told him that I'm broke, man I ain't got nothing   And I'm out (aight then) In a '87 Cutty about to go pick up a light skin And I'm out (aight then) Blowing on some kush the color Minnesota Viking And I'm out (aight then) Catch me swooping up a freak and I'm knowing how my night end And I'm out (aight then) Saying killa has some lightning   See this is all we know Just running round the hood dawg with nowhere to go Wanna grab some swishers but the narcs at the store So we parked at my man's, put the chronic on hold So now we just posting, drinking on some 40s My nigga got his 40 said drop him at his shorty's Told my nigga chill, about to roll one with hash Soon as the hook leave then my nigga we can smash All in rotation, puff puff passin' Eyes like cherries through magnifying glasses Think I got the munchies, my nigga, you hungry? Bout to ride to courttown grab us some munchies The blunt turned to ash, gave a  and laughed Drunk the rest of the 40, threw the bottle in the trash Made sure I had my phone, grabbed a square out the pack Gave my homie that, jumped in the Cutty and I smashed  And I'm out (aight then) In a '87 Cutty about to go pick up a light skin And I'm out (aight then) Blowing on some kush  And I'm out (aight then) Catch me swooping up a freak and I'm knowing how my night ends And I'm out (aight then) Saying killa has some lightning "
monopoly,"The hybrid, telling you try again Sleep with the beast, Daniel in the lions den Still drop dirty, after poppin' niacin Itched all damn day, just to get violated Ever scene a roach with babies have babies? In the hood like whatever, we in this bitch together Once got a ho, and had money for the room So we did the Humpty Hump in a Burger King bathroom Low-key, kept it undercover The way she slurp, slurp, she's the quicker picker upper No job, dropped out and a felon On the net, met a fat, white bitch named Helen Three hundred pounds, maybe 'round like two eighty Had a couple babies, two seventy, give or take Call that securing the bag, had to fight the baby dad Tried to stop how I eat, so I got up on his ass  What's in the dark always come to light Head was nasty, you'd think she had head lice Why try? Throw bleach in your eye Put your life on the line, hang 'em out to dry Tryna keep my hands clean, out here ride dirty Shit get messy, knock 'em out with a thirty High tide, game north of Arm and Hammer Swim towards the current, system tryna drown me Stain your record like Clorox and darks Spin cycle, half, where it's hot for one Out the slums, nobody gave me nothing Had temptations, so I hustled, David Ruffin Papa was a rolling stone, so I sold rocks to him Beam up Scotty, we got lift off Houston Left my sack in my clothes, mama just did a load 8-ball in my jeans, they say it tastes like soap  Twenty five peep show when I enter the booth Mop the floor when I leave, might slip if you do Cover your the ears of your kids, we got round two Fuck a bitch two times, call it deja vu Fuck a stripper for some change, actual change Dimes, pennies, nickels, actual change Okay, wanna hear this story? Left the house in a hurry I was in Hunky Dory's Got some dash from Laurie Left my wallet at home, ain't wanna hear that story And the girl had change from laundry Had to wash clothes anyway, told her I'm sorry It's slow anyway, but thought you was borin' Said, gimme, I'm on it Jumped on it and bounced No fabric softener, 'cause I was hard Then she gave me head, had me moanin' and groaning Guess who I seen doin' laundry next morning?"
nosebleeds,All the talk in the streets Don't bother me none I lay in bed don't miss a second of sleep Blow a blunt pass out don't count no sheep Wake up blow another one and still don't eat Ice melting in the grand cru Too high for rude comments I look down on you I'm humble and too nice But I don't talk to no Nigga that can't look me in my eyes Smoke a newport and take a shit And text your bitch She know she really want it I'm just trying to crash the boards like udonis Blow some chronic now she all up on it Used to catch the bus to Great Lakes To many hoes on me man dog I know they fake Cause where were your hoes at When I was tapping hoes and they couldn't even look back I rather just kickback And fuck with wifey Rock heels she don't fuck with nikes She say papi put it all inside me And I don't do shit lay back and let her ride me   Look how it all can change Things change start getting some change Same friends used to ask for change A straight change cause they say you changed And now look how it all can change It feels strange when they say you changed But think about it man you changed your life Changed your car Changed your crib Changed your wife  How the fuck can I act funny Far as I know I ain't never been bummy And these bitches can't change me Baby momma shot a mood So I treat 'em al the same I don't share things got my own lane Niggas in he hood call me by my government name Respected in the D used to hustle on 12th street And I'm from Linwood So you know I'm soul good Should have been God merc But I'm fighting in the D like Emanuel Steward Niggas see you and won't say two words But when your ass die they want to say a few words And my real niggas I'll take a case for Cock back drop back I'll take a face full Niggas fake ain't no pride no more Wonder why these real niggas won't ride no more   Look how it all can change Things change start getting some change Same friends used to ask for change A straight change cause they say you changed Look how it all can change It feels strange when they say you changed But think about it man you changed in life Changed your car Changed your crib Changed your wife
themesong,"Close my eyes, feel like I'm going down In an elevator at 90 miles an hour And all I see is stars and they coming at me sort of like a meteor shower My forehead's sweaty, my eyelids heavy, feeling like I ain't goin' make it 'Cause inside my head's like a firework show in the 4th July in Las Vegas Said, I'm trippin', I'm slippin', feeling like I just can't move I done took me a couple more pills Next thing I know, I'm taking off my shoes And I'm on walking on these clouds like marshmallows Nodding off, smellin' like rose petals Zoning out, two-three like the fiend in hell fire and angel wings I'm conscious to that world, conning science 'bout that world All these drugs up in me, it's a miracle I ain't mirror Kurt I'm numb like a mortician, going dumb with Oakland bitches They say you hella boosie, roll a backwood up with them cookies   I'm smoking, back to back, back to back, back to back It's the blunt after blunt rotation Now I'm in a kush coma off the OG aroma and my brain going on vacation Kush coma  Kush coma, I am in a kush coma Kush coma, I am in a kush coma Kush coma, I am in a kush coma Kush coma, I am in a kush coma Kush coma, I am in a kush coma Kush coma, I am in a kush coma Kush coma, I am in a kush coma Kush coma, I am in a kush coma   Get high, my niggas, smoke kush Get fly, my niggas, dope looks So many numbers in my phone book I could start a motherfucking phone book Know all the fly bitches gonna look Like I'm on something, tell 'em roll something I'm that one nigga, bumping two pots Be like three hoes, that's a foursome Fuck niggas always want to hold something Young hot nigga done froze on 'em Went cold on 'em, beat the golds on 'em And clothes on 'em, see the hoes on 'em? Only fear God, never sold on Him Man, I swear to God, put my soul on Him Life's a bitch, but she chose on him Should've died in Hell, but I rose on 'em In big shades, fuck the hypocrites, die Time let the tats, for the tick, tock Clocks on the wall, fuck your wristwatch Pause, let it stop, hope we get by Bye when I zoom, let it vroom 'Bout a hundred goons with a fume, better let it fuse A hundred miles an hour on the booth, better let it loose A hundred by the sour, molly, flower, and they love the shrooms That's real rap, I'm stating facts Contradictions, can't take it back Mommy's stripping, make it clap In a kush coma, finna take a nap I'm out  Kush coma, I am in a kush coma Kush coma, I am in a kush coma Kush coma, I am in a kush coma Kush coma, I am in a kush coma Kush coma, I am in a kush coma Kush coma, I am in a kush coma Kush coma, I am in a kush coma Kush coma, I am in a kush coma   Half asleep with that cotton mouth Weed grow house on plantation Nuggets the size of Rakim rings Got my head looking like a fatality screen Got my mind drippin' Gotta get away from all this bullshit in my way Knowing goddamn well when the high go away Same shit gon' be still in my way I'm a slave to the sticky icky So nigga roll something with me Been smoking blunts since high school Now look at all the bullshit I been through Wanna pass out, but we staying up Nigga gotta keep one eye open 'Cause nigga ain't tryna miss the next turn Nigga roll up, then we starting smoking I'm smoking on that ocho, got my mind on that cosmos Sippin' on that purple, got a nigga in slo-mo Dipping in that molly, feel like I'm doing 100 on a Harley Tell your baby mama sorry, that was one night and please don't call me   I'm smoking, back to back, back to back, back to back It's the blunt after blunt rotation Now I'm in a kush coma off the OG aroma and my brain going on vacation Kush coma  Kush coma, I am in a kush coma Kush coma, I am in a kush coma Kush coma, I am in a kush coma Kush coma, I am in a kush coma Kush coma, I am in a kush coma Kush coma, I am in a kush coma Kush coma, I am in a kush coma Kush coma, I am in a kush coma"
